label,id,acronym,type,ethn_relig,sponsor_quatar,sponsor_saudi,sponsor_turkey,sponsor_US,sponsor_jordan,sponsor_russia,sponsor_iran,sponsor_EU,rename_as,noidea
AAS: Ahrar al Sham,29,AAS,Rebel Groups,1,1,1,1,,,,,,,0
Ahmad al Abdo Forces,67,AAA,Rebel Groups,0,1,,,1,,,,,,0
Ahrar al Sharqiyah,38,ASH,Political Militias,1,,,1,,,,,,,0
Al Fath Al Mubeen Operation Room,2,AFM,State Forces,1,,,1,,,,,,,0
Al Sham Corps,28,FAS,Rebel Groups,0,1,,1,1,,,,,,0
Allied Syrian and/or Russian Forces,7,SRU,State Forces,5,,,,,,1,1,,,0
Ansar al Tawhid,9,AAT,External/Other Forces,1,,,,,,,,,,0
As-Sweida Communal Militia (Syria),53,ASM,Identity Militias,5,,,,,,,,,,0
Asayish (Syria),21,HEH,Rebel Groups,4,,,,,,,,,,0
Banyan al Marsus,56,BAM,Rebel Groups,0,,,,,,,,,,0
Dar'a Popular Resistance,42,DMS,Rebel Groups,0,,,,,,,,,,0
FaR: Al Rahman Corps,61,FaR,Rebel Groups,0,,,,1,1,,,,,0
Fatemiyoun Brigade,14,LFA,Political Militias,2,,,,,,,1,,,0
Fathbatou Operation Room,34,FAT,Political Militias,1,,,,,,,,,,0
Former Operation Euphrates Shield,62,fES,Rebel Groups,0,,,1,,,,,,,0
Former Operation Olive Branch,45,fOB,Rebel Groups,0,,,1,,,,,,,0
Free Idlib Army,48,JIH,Rebel Groups,0,1,1,,,,,,,,0
Free Syrian Police,57,FSP,Political Militias,0,,,,,,,,1,,0
Global Coalition Against Daesh,18,GCD,External/Other Forces,5,,1,,1,1,,,1,,0
HNDZ: Nour al Din al Zinki Movement,51,NDZ,Rebel Groups,0,,1,1,1,,,,,,0
HTS: Hayat Tahrir al Sham,11,HTS,Rebel Groups,1,,,1,,,,,,,0
HXP: Self-Defense Forces,27,HXP,Political Militias,4,,,,,,,,,,0
Hamza Brigade,46,HB,Rebel Groups,0,,,,1,,,,,,0
Hamza Division - Aleppo,33,HD,Rebel Groups,0,,,1,1,,,,,,0
Hezbollah,54,HZB,Political Militias,2,,,,,,,1,,,0
Hurras al Deen,19,HAD,External/Other Forces,1,,,,,,,,,,0
Islamic State (Syria),6,IS,Rebel Groups,1,,,,,,,,,,0
Islamist Militia (Syria),32,im,Political Militias,1,,,,,,,,,,0
Islamist Rebels (Syria),44,ir,Rebel Groups,1,,,,,,,,,,0
JOS: Lions of the East Army,63,JOS,Rebel Groups,0,,,,1,1,,,,,0
JSH: Free Syrian Army,41,JSH,Rebel Groups,0,,1,,1,1,,,1,,0
JTS: Syria Liberation Front,58,JTS,Rebel Groups,0,,,,,,,,,,0
JTW: National Liberation Front,31,JTW,Rebel Groups,0,,,1,,,,,,,0
JWS: Syrian National Army,10,JWS,Rebel Groups,0,,,1,,,,,,,0
JaS: Levant Front,35,JaS,Political Militias,1,1,,1,,,,,,,0
JaT: Army of Revolutionaries,49,JaT,Rebel Groups,5,,,,,,,,,,0
Jabhat Fateh al Sham,70,JFS,Rebel Groups,1,,,,,,,,,,0
Jaysh al Ahrar,50,JAAh,Rebel Groups,1,,,,,,,,,,0
Jaysh al Islam,26,JIS,Rebel Groups,1,,1,,,,,,,,0
Jaysh al Izza,43,JIZ,Rebel Groups,0,1,1,1,1,,,,,,0
Jaysh al Nasr,60,JAN,Rebel Groups,0,,,1,1,,,,,,0
JeA: Ababil Horan Battalion,65,JeA,Rebel Groups,0,,,,,,,,,,0
Jund al Aqsa,69,JAQ,Rebel Groups,1,,,,,,,,,,0
Khalid ibn al Walid Army,52,KAW,State Forces,1,,,,,,,,,,0
LAS: Northern Storm Brigade,39,LAS,Rebel Groups,0,,,1,,,,,,,0
LaQ: Quds Brigade,23,LaQ,Political Militias,2,,,,,,,1,,,0
